CodeCirco	Nom	Nombre	Debut	Fin
00	NA	81	1979/06/07	1994/06/11
00	NA	87	1994/06/12	2004/06/12
03	EST	10	2004/06/13	2009/06/06
03	EST	9	2009/06/07	NA
07	ILE-DE-FRANCE	14	2004/06/13	2009/06/06
07	ILE-DE-FRANCE	13	2009/06/07	2014/05/24
07	ILE-DE-FRANCE	15	2014/05/25	NA
06	MASSIF-CENTRAL CENTRE	6	2004/06/13	2009/06/06
06	MASSIF-CENTRAL CENTRE	5	2009/06/07	NA
01	NORD-OUEST	12	2004/06/13	2009/06/06
01	NORD-OUEST	10	2009/06/07	NA
02	OUEST	10	2004/06/13	2009/06/06
02	OUEST	9	2009/06/07	NA
08	OUTRE-MER	3	2004/06/13	NA
05	SUD-EST	13	2004/06/13	NA
04	SUD-OUEST	10	2004/06/13	NA
